#,question,answer,sources,confidence,from_cache,language,elapsed_seconds,status
11,FATF virtual assets,"Under the FATF definition, a **virtual asset** is a digital representation of value that can be digitally traded or transferred and used for payment or investment. It excludes digital representations of fiat currencies, securities, and other financial assets already covered elsewhere under the FATF Recommendations. (FATF Recommendations 2012 (updated 2023.11).pdf, p.138)

A **virtual asset service provider (VASP)** is a natural or legal person not covered elsewhere under the FATF Recommendations that, as a business, conducts activities for or on behalf of another person. The excerpt specifically identifies: **(i)** exchange between virtual assets and fiat currencies, and **(ii)** exchange between one or more forms of virtual assets. (FATF Recommendations 2012 (updated 2023.11).pdf, p.138) FATF’s standards on virtual assets and VASPs form part of its broader global standards addressing money laundering, terrorist financing, and proliferation financing risks. (7th-targeted-update-on-implementation-fatf-standards-vas-vasps-2026.pdf, p.1-3)",FATF Recommendations 2012 (updated 2023.11).pdf; 7th-targeted-update-on-implementation-fatf-standards-vas-vasps-2026.pdf.coredownload.pdf; 7th-targeted-update-on-implementation-fatf-standards-vas-vasps-2026.pdf,10.368746757507324,False,en,7.0,ok
12,What are the transparency rules for non-equity instruments?,"For non-equity instruments—bonds, structured finance products, emission allowances and derivatives—market operators and investment firms operating a trading venue must publish current bid and offer prices and the depth of trading interests at those prices. This information must be available continuously during normal trading hours, with requirements calibrated to different trading-system types under Annex I of Commission Delegated Regulation (EU) 2017/583 (RTS 2). Specific rules also apply to package orders and exchange-for-physical orders. (esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf, p.12; pp.12–13)

Pre-trade transparency waivers are available only in limited, clearly defined circumstances. They may cover orders that are large in scale compared with normal market size and orders held in a trading venue’s order management facility pending disclosure. Derivative transactions by non-financial counterparties are also exempt where they objectively reduce risks directly related to the commercial activity of the counterparty or its group. (esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf, p.12; pp.12–13) Post-trade, the price, volume and time of transactions executed in non-equity instruments must be made public as close to real time as technically possible—within 15 minutes during the first three years of application, and within 5 minutes thereafter. (esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf, p.32)",esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf; esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf; esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf,5.301558971405029,False,en,7.8,ok
13,What are the liquidity management tools under AIFMD?,"The excerpts identify the following principal liquidity management tools under **Annex V of AIFMD**: **suspension of subscriptions, redemption gates, and side pockets**. A side pocket separates assets whose economic or legal characteristics have materially changed or become uncertain in exceptional circumstances from the fund’s other assets. (ESMA34-671404336-1345_Final_Report_on_the_Draft_Regulatory_Technical_Standards_on_open-ended_loan-originating_AIFs_under_the_AIFMD.pdf, pp. 21–22; cssf25_901_recueil_eng.pdf, p. 25)

Other tools reported in connection with open-ended funds include **lock-up periods**, **standby credit facilities**, **diversification of the investor base**, and **swing pricing**. Lock-up periods prevent redemptions for a predetermined period. However, **soft closures** and **extensions of settlement periods** may be available where appropriate but do **not** qualify as liquidity management tools within the meaning of AIFMD. (ESMA34-671404336-1345_Final_Report_on_the_Draft_Regulatory_Technical_Standards_on_open-ended_loan-originating_AIFs_under_the_AIFMD.pdf, pp. 21–22; cssf25_901_recueil_eng.pdf, p. 25)",ESMA34-671404336-1345_Final_Report_on_the_Draft_Regulatory_Technical_Standards_on_open-ended_loan-originating_AIFs_under_the_AIFMD.pdf; cssf25_901_recueil_eng.pdf; EUR-Lex - 52021SC0340 - EN - EUR-Lex.pdf,10.081768989562988,False,en,8.3,ok
14,What are the CSDR settlement discipline rules?,"The CSDR settlement-discipline regime is structured around three main measures for addressing settlement failures: **reporting settlement fails, cash penalties, and a mandatory buy-in regime**. It also includes measures to prevent failures—such as allocations and confirmations, automation, mandatory matching and relevant CSD functionalities—and monitoring of settlement fails. (2016-174_-_final_report_on_csdr_rts_on_settlement_discipline_0.pdf, pp.1–2; esma70-156-5011_final_report_-_rts_settlement_discipline_-_buy-in_suspension.pdf, p.5)

The regime entered into force on **1 February 2022**. However, market participants reported serious implementation difficulties with mandatory buy-ins. In response, the co-legislators agreed that the costs of mandatory buy-ins might outweigh their benefits and amended the framework to allow different application dates for the individual settlement-discipline measures, while the buy-in regime could be further assessed and potentially amended. (esma70-156-5011_final_report_-_rts_settlement_discipline_-_buy-in_suspension.pdf, p.5; esma70-156-5011_final_report_-_rts_settlement_discipline_-_buy-in_suspension.pdf, pp.12–13)",esma70-156-5011_final_report_-_rts_settlement_discipline_-_buy-in_suspension.pdf; 2016-174_-_final_report_on_csdr_rts_on_settlement_discipline_0.pdf; esma70-156-5011_final_report_-_rts_settlement_discipline_-_buy-in_suspension.pdf,3.1635591983795166,False,en,9.2,ok
15,ESMA MiFID II,"ESMA’s MiFID II product-governance guidelines apply to firms and competent authorities involved in manufacturing or distributing financial instruments and structured deposits. They address requirements under MiFID II and the MiFID II Delegated Directive, including manufacturers’ and distributors’ product-governance obligations. The guidelines apply from two months after their publication on ESMA’s website in all EU official languages. (ESMA35-43-3448_Guidelines_on_product_governance.pdf, p.3)

The excerpts also describe ESMA proposals to integrate sustainability risks and factors into the MiFID II framework. In product governance, these proposals concern manufacturers’ and distributors’ definition and review of the target market, with ESG considerations or ESG preferences added to relevant delegated provisions. (esma35-43-1737_final_report_on_integrating_sustainability_risks_and_factors_in_the_mifid_ii.pdf, p.25) MiFID II is identified as Directive 2014/65/EU, while MiFIR is identified as Regulation (EU) No 600/2014. (esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf, p.8)",ESMA35-43-3448_Guidelines_on_product_governance.pdf; esma70-156-3329_mifid_ii_mifir_review_report_on_the_transparency_regime_for_non-equity_instruments.pdf; esma35-43-1737_final_report_on_integrating_sustainability_risks_and_factors_in_the_mifid_ii.pdf,10.226365089416504,False,en,10.8,ok
16,What are the UCITS sustainability requirements?,"UCITS management companies are expected to integrate sustainability risks into their organisational arrangements, investment decision-making and risk-management processes using a principles-based approach, similar to the treatment of other relevant risks. The framework should include effective and adequate procedures, appropriately skilled personnel, regular reviews and internal reporting, sufficient analytical, research and legal support, cooperation between relevant functions, and systems, processes and internal controls capable of identifying and analysing sustainability risks over time. Conflicts of interest arising from sustainability considerations must also be identified, prevented, managed and disclosed. (esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf, p.10)

The governing body should be responsible for integrating sustainability risks and should periodically approve and review the risk-management policy, arrangements, processes, techniques and risk limits for each managed UCITS. The management company should employ sufficient personnel with the necessary skills, knowledge and expertise, taking account of the nature, scale and complexity of its business and services, as well as the resources and expertise needed for effective sustainability-risk integration. It should also maintain documented decision-making procedures and reporting lines, ensure that relevant persons understand their responsibilities, and operate adequate internal controls to ensure compliance with decisions and procedures. (esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf, p.14–15)",esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf; esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf; esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf,4.994967460632324,False,en,7.5,ok
17,What are the revised SREP guidelines?,"The revised SREP Guidelines are a single, comprehensive framework for the Supervisory Review and Evaluation Process (SREP), which consolidates supervisory findings into an overall assessment of an institution. They are addressed to competent authorities and also aim to harmonise supervisory stress testing across the EU. The revision reflects the banking package—Directive (EU) 2024/1619 and Regulation (EU) 2024/1623—as well as DORA (Regulation (EU) 2022/2554), the IRRBB/CSRBB package, and supervisory experience from almost a decade of implementation. (Final Report on revised SREP and supervisory stress testing Guidelines.pdf, p.5)

The revised framework retains the core SREP structure while adding ESG factors, operational resilience, third-country branches, and clarification of the interaction between revised Pillar 1 and Pillar 2 capital requirements, including the output floor. It integrates ICT risk assessment and repeals the separate ICT SREP Guidelines (EBA/GL/2017/05), with the aim of simplifying and improving consistency. It also strengthens proportionality, sequencing and supervisory effectiveness, including extending the assessment cycle for certain stable, low-risk Category 4 institutions from three to five years, subject to specified conditions. (Final Report on revised SREP and supervisory stress testing Guidelines.pdf, pp.5–6, 222–223) The guidelines further support risk-based supervision and require institutions to be categorised into four categories for proportionality, taking account of size, systemic importance, and the nature, scale and complexity of their activities. (Final Report on revised SREP and supervisory stress testing Guidelines.pdf, p.223)",Final Report on revised SREP and supervisory stress testing Guidelines.pdf; Final Report on revised SREP and supervisory stress testing Guidelines.pdf; Final Report on revised SREP and supervisory stress testing Guidelines.pdf,10.861390113830566,False,en,7.5,ok
18,What are the EBA guidelines on ESG risk management?,"The EBA’s ESG risk management guidelines broaden the focus beyond climate and environmental risks to cover environmental, social and governance risks more comprehensively. They set out supervisory expectations for integrating ESG risks into institutions’ strategies, business models, governance, operations, risk management and internal control systems. A central feature is the transition plan: institutions should use it as a concrete roadmap for managing ESG risks under the prudential framework. (Publication-EBA-Guidelines-vLinkedIn.pdf, p.1–2)

The guidelines expect institutions to conduct a materiality assessment, identify ESG risk transmission channels, scan the business environment, and analyse how material risks could affect their strategy and business model. These findings should support the definition of mitigation objectives and the transition plan, with robust ESG data underpinning the process. The guidelines build on EU and international requirements and principles, including BCBS principles and NGFS guidance, and cross-reference EBA requirements on loan origination and monitoring, internal governance, and Pillar 3 ESG risk metrics. (Publication-EBA-Guidelines-vLinkedIn.pdf, p.1–2; Final Guidelines on the management of ESG risks.pdf, p.12)",Publication-EBA-Guidelines-vLinkedIn.pdf; Circular 26_905.pdf; Final Guidelines on the management of ESG risks.pdf,10.883116722106934,False,en,6.8,ok
19,EBA operational risk,"The EBA’s operational-risk work focuses on implementing the new operational-risk framework—the **Standardised Measurement Approach (SMA)**—as part of the EU implementation of the **Basel III framework** under the **Banking Package**. Its priorities include supporting implementation in the EU, monitoring and promoting the consistent application of operational-risk requirements, and providing support through Q&A. (Single-Programming-Document-2026-2028-initial-1-1.pdf, p.40)

The planned ongoing output includes **technical standards on the exclusion of losses** (“RTS on the exclusion of losses”), scheduled for **Q1**. The excerpts do not specify a more detailed legal basis or particular provisions for this measure. (Single-Programming-Document-2026-2028-initial-1-1.pdf, p.40)",Single-Programming-Document-2026-2028-initial-1-1.pdf; Single-Programming-Document-2026-2028-initial-1-1.pdf; Single-Programming-Document-2026-2028-initial-1-1.pdf,9.515148162841797,False,en,6.6,ok
20,EBA outsourcing guidelines,"The **EBA Guidelines on outsourcing arrangements (EBA/GL/2019/02)** incorporate the earlier **EBA Recommendations on outsourcing to cloud service providers (EBA/REC/2017/03)**. They were intended to establish a consistent approach to outsourcing, including cloud outsourcing, across the banking sector and to support supervisory convergence. (8b80b926-ad14-48fc-9618-325234845d03_en.pdf, pp. 3–4, 33)

The ECB Banking Supervision expects institutions to comply fully with the applicable outsourcing requirements within the relevant timelines. Existing outsourcing arrangements were generally required to be documented in line with the Guidelines after the first renewal date, and no later than **31 December 2021**; this documentation requirement expressly excluded outsourcing arrangements to cloud service providers. (Annual report on the outcome of the SREP IT Risk Questionnaire – Feedback to the industry.pdf, p. 14) The excerpts do not provide the full detailed requirements of EBA/GL/2019/02, nor do they identify a specific legal basis beyond the Guidelines themselves.",8b80b926-ad14-48fc-9618-325234845d03_en.pdf; 8b80b926-ad14-48fc-9618-325234845d03_en.pdf; Annual report on the outcome of the SREP IT Risk Questionnaire – Feedback to the industry.pdf,8.87326431274414,False,en,6.6,ok
21,EBA Pillar 3 disclosures,"The EBA’s final draft Implementing Technical Standards (ITS), published on 22 June 2026, amend the Pillar 3 disclosure framework to complete the disclosure requirements introduced by the revised Capital Requirements Regulation (CRR3). They revise ESG-risk disclosures and introduce new disclosure requirements for equity exposures and aggregate exposures to shadow banking entities, with the objectives of improving clarity, consistency and usability as part of the EU simplification agenda. (A&O Shearman _ FinReg _ EBA final draft ITS on amended Pillar 3 disclosures.pdf, p.1; EBA updates Pillar 3 disclosure requirements on ESG risks, equity and shadow banking exposures, as part of simplification effort _ European Banking Authority.pdf, p.1-2)

For ESG disclosures, the scope is extended beyond large listed institutions to large non-listed institutions, other institutions, small and non-complex institutions (SNCIs), and large subsidiaries. The framework is proportionate, with requirements differentiated according to an institution’s size and complexity. SNCIs would disclose only essential information, including physical and transition risks and exposures to fossil-fuel sectors, while requirements for larger institutions are clarified and streamlined rather than expanded. (A&O Shearman _ FinReg _ EBA final draft ITS on amended Pillar 3 disclosures.pdf, p.1; EU_ EBA publishes long-awaited final draft ITS amending the Pillar 3 disclosure framework on ESG risks, Premlata Fagan.pdf, p.1-2) The ESG Pillar 3 framework is closely linked to the EBA’s ESG supervisory-reporting framework under consultation and is aligned with the European Sustainability Reporting Standards (ESRS); the two documents should therefore be read together. (EBA updates Pillar 3 disclosure requirements on ESG risks, equity and shadow banking exposures, as part of simplification effort _ European Banking Authority.pdf, p.1-2)","A&O Shearman _ FinReg _ EBA final draft ITS on amended Pillar 3 disclosures.pdf; EBA updates Pillar 3 disclosure requirements on ESG risks, equity and shadow banking exposures, as part of simplification effort _ European Banking Authority.pdf; EU_ EBA publishes long-awaited final draft ITS amending the Pillar 3 disclosure framework on ESG risks, Premlata Fagan.pdf",10.390471458435059,False,en,7.8,ok
22,What is the ORSA under Solvency II?,"The **ORSA (Own Risk and Solvency Assessment)** is a regular assessment that an insurance or reinsurance undertaking performs as part of its risk-management system. Its purpose is to identify and assess all risks inherent in the business and determine the undertaking’s **overall solvency needs**, including the amount and quality of own funds required for its particular risk exposure and business objectives. It must take a forward-looking view of the risks faced by the undertaking. (0ae6b432-4ca1-415c-8613-45407266f00b_en.pdf, p.15; p.8)

The ORSA reflects the undertaking’s risk profile, approved risk-tolerance limits and business strategy, and its results should inform management and strategic decisions, such as risk retention or transfer, capital management and premium-setting. It is not satisfied merely by producing a report or completing templates, and the undertaking cannot assume that regulatory capital requirements alone are sufficient for its specific risks. (0ae6b432-4ca1-415c-8613-45407266f00b_en.pdf, p.15)",0ae6b432-4ca1-415c-8613-45407266f00b_en.pdf; 0ae6b432-4ca1-415c-8613-45407266f00b_en.pdf; 0ae6b432-4ca1-415c-8613-45407266f00b_en.pdf,7.396919250488281,False,en,7.3,ok
23,What are the Solvency II capital requirements?,"The excerpts describe Solvency II capital requirements as requiring an undertaking to demonstrate that it can comply **continuously** with its regulatory capital requirements. This forward-looking assessment must consider potential material changes in its risk profile; the quantity and quality of own funds throughout the business-planning period; and the tier composition of own funds, including changes resulting from redemptions, repayments and maturities. (Final_EN_ORSA_Clean.pdf, p.9)

The undertaking must also assess whether its risk profile deviates significantly from the assumptions underlying the Solvency II **Solvency Capital Requirement (SCR)** calculation. A qualitative assessment may be used first, with quantitative assessment required where the deviation may be significant. (Final_EN_ORSA_Clean.pdf, p.9) The excerpts also indicate that capital requirements address major risks such as credit risk and issuer-level concentration risk, although they do not cover every vulnerability, particularly those associated with illiquid and difficult-to-value assets. (FINANCIAL STABILITY REPORT.pdf, p.89)

The excerpts do not provide the numerical capital thresholds, calculation formulas, or a complete breakdown of the Solvency II requirements. They also indicate that an internal model may be used in certain circumstances, but the undertaking must assess the position that its internal-model application could be rejected. (Final_EN_ORSA_Clean.pdf, p.5–6)",Final_EN_ORSA_Clean.pdf; Final_EN_ORSA_Clean.pdf; FINANCIAL STABILITY REPORT.pdf,6.301668167114258,False,en,8.5,ok
